"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2023","155.96","155.57","156.15","153.85","","0.30%"
"12/07/2023","155.50","158.58","158.66","153.25","","-1.92%"
"12/06/2023","158.54","158.89","159.15","158.37","","-0.18%"
"12/05/2023","158.83","159.53","159.73","158.56","","-0.43%"
"12/04/2023","159.51","159.85","159.89","158.68","","-0.16%"
"12/01/2023","159.76","161.35","161.79","159.63","","-0.95%"
"11/30/2023","161.30","161.55","161.98","160.57","","-0.12%"
"11/29/2023","161.49","162.12","162.30","161.48","","-0.36%"
"11/28/2023","162.07","162.87","162.95","161.91","","-0.47%"
"11/27/2023","162.84","163.52","163.75","162.52","","-0.39%"
"11/24/2023","163.47","163.11","163.68","162.72","","0.24%"
"11/23/2023","163.08","162.84","163.24","162.42","","0.18%"
"11/22/2023","162.79","161.92","162.95","161.57","","0.56%"
"11/21/2023","161.88","162.32","162.45","161.23","","-0.25%"
"11/20/2023","162.28","163.25","163.59","161.76","","-0.56%"
"11/17/2023","163.19","163.57","163.63","162.14","","-0.20%"
"11/16/2023","163.52","164.20","164.35","163.24","","-0.40%"
"11/15/2023","164.17","163.60","164.28","163.05","","0.35%"
"11/14/2023","163.60","162.32","163.87","162.20","","0.83%"
"11/13/2023","162.26","161.88","162.43","161.53","","0.27%"
"11/10/2023","161.82","161.46","161.98","161.34","","0.25%"
"11/09/2023","161.42","161.67","161.83","161.35","","-0.14%"
"11/08/2023","161.64","160.88","161.76","160.68","","0.49%"
"11/07/2023","160.85","160.83","161.07","160.42","","0.02%"
"11/06/2023","160.82","160.30","161.02","160.10","","0.35%"
"11/03/2023","160.26","159.82","160.46","159.59","","0.31%"
"11/02/2023","159.77","159.56","160.13","159.05","","0.16%"
"11/01/2023","159.52","160.39","160.45","159.01","","-0.55%"
"10/31/2023","160.41","158.30","160.88","158.18","","1.37%"
"10/30/2023","158.24","158.00","158.95","157.68","","0.13%"
"10/27/2023","158.04","158.79","158.91","157.88","","-0.48%"
"10/26/2023","158.80","158.79","158.93","157.98","","0.08%"
"10/25/2023","158.67","158.78","158.97","158.40","","-0.03%"
"10/24/2023","158.72","159.75","159.95","158.53","","-0.61%"
"10/23/2023","159.70","158.69","159.80","158.49","","0.61%"
"10/20/2023","158.73","158.50","158.98","158.32","","0.16%"
"10/19/2023","158.48","157.95","158.95","157.66","","0.34%"
"10/18/2023","157.94","158.43","158.59","157.67","","-0.30%"
"10/17/2023","158.41","157.88","158.66","157.57","","0.36%"
"10/16/2023","157.84","157.13","158.05","157.04","","0.43%"
"10/13/2023","157.16","157.70","158.08","157.03","","-0.33%"
"10/12/2023","157.68","158.39","158.66","157.64","","-0.42%"
"10/11/2023","158.35","157.71","158.51","157.50","","0.43%"
"10/10/2023","157.67","156.93","158.02","156.75","","0.50%"
"10/09/2023","156.89","157.84","157.84","156.51","","-0.75%"
"10/06/2023","158.07","156.68","158.30","156.47","","0.91%"
"10/05/2023","156.64","156.65","156.81","156.07","","0.01%"
"10/04/2023","156.62","156.03","156.81","155.81","","0.43%"
"10/03/2023","155.95","157.02","157.26","154.45","","-0.65%"
"10/02/2023","156.97","158.03","158.51","156.98","","-0.56%"
"09/29/2023","157.86","157.76","158.37","157.39","","0.14%"
"09/28/2023","157.64","157.16","157.92","156.70","","0.34%"
"09/27/2023","157.11","157.59","157.70","156.94","","-0.28%"
"09/26/2023","157.55","157.72","157.96","157.31","","-0.07%"
"09/25/2023","157.66","158.07","158.26","157.45","","-0.24%"
"09/22/2023","158.04","157.32","158.31","157.10","","0.48%"
"09/21/2023","157.29","158.14","158.16","156.98","","-0.51%"
"09/20/2023","158.10","157.89","158.53","157.76","","0.15%"
"09/19/2023","157.87","157.82","158.32","157.72","","0.06%"
"09/18/2023","157.77","157.64","158.00","157.32","","0.16%"
"09/15/2023","157.52","156.90","157.94","156.71","","0.38%"
"09/14/2023","156.92","158.22","158.42","156.61","","-0.79%"
"09/13/2023","158.17","158.18","158.68","157.99","","0.01%"
"09/12/2023","158.16","157.58","158.32","157.14","","0.40%"
"09/11/2023","157.53","158.39","158.42","156.57","","-0.39%"
"09/08/2023","158.14","157.56","158.44","156.99","","0.35%"
"09/07/2023","157.59","158.38","158.55","157.35","","-0.50%"
"09/06/2023","158.38","158.51","158.52","157.76","","-0.04%"
"09/05/2023","158.45","158.14","158.54","157.78","","0.25%"
"09/04/2023","158.06","157.62","158.28","157.31","","0.34%"
"09/01/2023","157.53","157.81","158.00","157.02","","-0.15%"
